Need help pleese,neutral
Need help,neutral
I need some info,neutral
Will you help me?,question
What else can you do?,question
What do you do?,question
What can you help me with?,question
What can you do?,question
What are you good at?,question
Need help plz,question
How can you help me,question
Can you help me?,question
How can you assist?,question
How can you help me?,question
How do you help?,question
How to help you?,question
How will you assist me?,question
i need help,question
Can you tell some info,question
Help me please,question
Is this a bot?,question
Is there a bot chatting to me?,question
Is it automated message?,question
Computer based pely,question
Bot or human?,question
Bot is chatting with me?,question
Are you system generated message?,question
Are you robot?,question
Are you machine?,question
Are you just computer?,question
Are you a robot?,question
Are you a person?,question
Are you a machine?,question
Are you a chatbot?,question
Are you a bot?,question
Are these automated messages?,question
Am I talking to a bot?,question
You are a boy are girl?,question
You are a bot or human?,question
This is a machine?,question
This is a chatbot?,question
System generated reply,neutral
Sir you system genretrd,question
Is this computer based response,question
Is this a machine?,question
Are you a human?,question
Hows life?,question
How was your day?,question
How you doin?,question
Whats up?,question
What's happening?,question
Kya chal raha?,question
Wassup?,question
How you doing?,question
Are you fine?,question
Are you good?,question
How are you?,question
How are you doing?,question
Only providing my number,neutral
Only providing my email,neutral
Only providing my contact details,neutral
Only here to give my contact,neutral
i am just here to provide my number,neutral
i am just here to provide my details,neutral
Who are youu?,question
What can I call you?,question
Your name?,question
Can you tell me your name?,question
Are you there?,question
Any one there?,question
What is your name?,question
are you abir?,question
Is anyone there?,question
Your name is?,question
Who is chatting?,question
Tell me about your self?,question
Who are you?,question
Who am I chatting with?,question
What's your name?,question
What should I say as your name?,question
Tell me your name?,question
What are you called?,question
No I will not give the information.,neutral
No. Cannot give you.,neutral
I don't want to tell,neutral
I don't want to,neutral
I don't think so,neutral
Don't have it as of now.,neutral
Cannot tell you,neutral
Won't tell,neutral
Won't give you,neutral
Sorry but I won't,neutral
Right now I don't have it.,neutral
I have a question,neutral
Need to aska query,neutral
I have a question for you,neutral
HAving a query,neutral
I have a query for you,question
I have a query,question
Have a query for you,question
Wait for two minutes,neutral
will you please wait,neutral
Can you  please wait,neutral
Please wait,neutral
Wait for some time,neutral
Want you to wait for me,neutral
Can you wait for two minutes,neutral
Connect me to the support of abcd company,neutral
I want a call back from you,neutral
Please tell me your tollfree number ?,question
Please tell me your mobile number?,question
